Rank,Actor_ID,Name,Img_link,Experince,Work
34,nm0001780,Peter Stormare,"https://m.media-amazon.com/images/M/MV5BOTUyMDQ0MTEyNF5BMl5BanBnXkFtZTYwNDYxMDkz._V1_UY209_CR4,0,140,209_AL_.jpg",Actor,Fargo (tt0116282)
35,nm8908475,Isabel May,"https://m.media-amazon.com/images/M/MV5BODM3MDE2YjYtZTA4Ny00OTRjLWJiOWYtYWVjNTQxZDAwYWUyXkEyXkFqcGdeQXVyNjUzMzg3MTE@._V1_UY209_CR21,0,140,209_AL_.jpg",Actress,1883 (tt13991232)
36,nm1854269,Diane Morgan,"https://m.media-amazon.com/images/M/MV5BN2M4MGM3NjItNDMyNC00ZjVmLWFkNTctNjAzODcyZGVjNzhlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR44,0,140,209_AL_.jpg",Actress,Mandy (tt10692232)
37,nm1555340,Alison Brie,"https://m.media-amazon.com/images/M/MV5BMjJkNDg5ZDctM2RlZS00NjFmLTkxZjktMWE5NGQzMDg4NDFhXkEyXkFqcGdeQXVyMTMwMDM1OTQ@._V1_UY209_CR6,0,140,209_AL_.jpg",Actress,GLOW (tt5770786)
38,nm1105980,Kathryn Newton,"https://m.media-amazon.com/images/M/MV5BMDM5YjI2NDItYWY1My00ZmUyLTgyZjMtOGQzMmEyNjk0ODU5XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UX140_CR0,0,140,209_AL_.jpg",Actress,Ant-Man and the Wasp: Quantumania (tt10954600)
39,nm1685408,Dawn Olivieri,"https://m.media-amazon.com/images/M/MV5BMjAxMjM1MTEyOV5BMl5BanBnXkFtZTcwNDMzODIyNw@@._V1_UY209_CR15,0,140,209_AL_.jpg",Actress,1883 (tt13991232)
40,nm3706952,Crystal Reed,"https://m.media-amazon.com/images/M/MV5BNWZmZTMwMGUtYWIzZS00ZTI0LTk1ZDUtYjNjYWM0NDJmNGU1XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UY209_CR34,0,140,209_AL_.jpg",Actress,Swamp Thing (tt8362852)
41,nm7879234,Julia Schlaepfer,"https://m.media-amazon.com/images/M/MV5BYWQ5YWU1MTYtYjIyYi00NTJiLWJkMDktNjY4YzRlZjc1ODYwXkEyXkFqcGdeQXVyNjA0NjcxMDE@._V1_UY209_CR5,0,140,209_AL_.jpg",Actress,1923 (tt18335752)
42,nm2492359,Charlotte Ritchie,"https://m.media-amazon.com/images/M/MV5BMjk5Zjk3ZjktMDBkNi00OWZmLTg5Y2YtZjE4YzVjZmI5NTNjXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR12,0,140,209_AL_.jpg",Actress,Call the Midwife (tt1983079)
43,nm1431940,Evangeline Lilly,"https://m.media-amazon.com/images/M/MV5BMTc2MDMzODU0OV5BMl5BanBnXkFtZTgwODIwOTAxMzI@._V1_UY209_CR21,0,140,209_AL_.jpg",Actress,Ant-Man (tt0478970)
